u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,tunnel,junction
264003928,4836160792,0,566701605,motorway,2,80,常磐自動車道,True,E6,False,469.78073681472097,"LINESTRING (140.6367291 36.6052572, 140.6366475 36.6044793, 140.6365732 36.6038924, 140.6364924 36.6033461, 140.6363954 36.6028493, 140.6362835 36.6023206, 140.636213 36.6020224, 140.636099 36.601552, 140.6359673 36.6010815)",,,
264003928,2718226218,0,929126692,motorway_link,1,,,True,,False,264.72674499603056,"LINESTRING (140.6367291 36.6052572, 140.6367285 36.6044815, 140.6366981 36.6039087, 140.6366083 36.6028795)",,,
264003995,504241153,0,"109213950,94061639",motorway_link,1,,,True,,False,510.80634269863833,"LINESTRING (140.5781646 36.5109643, 140.5776778 36.5104338, 140.5774511 36.5102172, 140.5772642 36.5100489, 140.576832 36.5096528, 140.5767073 36.5095057, 140.5766144 36.5093857, 140.5765349 36.5092507, 140.5764671 36.5091234, 140.5764162 36.5089841, 140.5763786 36.5088469, 140.5763559 36.5087084, 140.5763471 36.5085844, 140.5763314 36.5083038, 140.5763292 36.5079875, 140.5763431 36.5076799, 140.5763735 36.5073471, 140.5764012 36.5068439)",yes,,
264003995,728180221,0,"631622130,761753028,761753029,380594143",motorway,2,80,常磐自動車道,True,E6,False,674.5532722577457,"LINESTRING (140.5781646 36.5109643, 140.5776268 36.5104694, 140.5774055 36.5102667, 140.577195 36.5100915, 140.5767699 36.5097429, 140.5764413 36.5094788, 140.5758442 36.5090191, 140.575514 36.5087751, 140.5752584 36.5085873, 140.5741153 36.5077517, 140.5735101 36.5073, 140.5727654 36.5067319)",yes,,
373335545,1213803631,0,105342896,residential,,,,False,,False,134.0423018722568,"LINESTRING (140.6874428 36.6397168, 140.6870314 36.6396922, 140.6869179 36.6397039, 140.6868381 36.6397347, 140.6867713 36.639802, 140.6866444 36.6399651, 140.6865706 36.6400146, 140.6864466 36.6400235, 140.6863368 36.6399892, 140.6861572 36.639916)",,,
373335545,1215919532,0,105591029,unclassified,,,,False,,False,132.18418285169423,"LINESTRING (140.6874428 36.6397168, 140.6875335 36.6398709, 140.6875913 36.6403761, 140.6876776 36.6408824)",,,
373335545,4472061009,0,"1194633354,105257270,105591031",trunk,2,50,陸前浜街道,False,6,False,153.99260791825773,"LINESTRING (140.6874428 36.6397168, 140.687415 36.6400021, 140.687378 36.6402907, 140.687309 36.6407188, 140.6872743 36.6409269, 140.6872458 36.6410923)",yes,,
373335545,1215919584,0,1194633354,trunk,2,50,陸前浜街道,False,6,True,35.468555904071714,"LINESTRING (140.6874428 36.6397168, 140.6874446 36.6395262, 140.6874393 36.6393979)",,,
373335666,1225778637,0,106559568,residential,,,,False,,False,137.20746096574916,"LINESTRING (140.6612374 36.6092354, 140.6615533 36.6092381, 140.6619592 36.6092464, 140.6622613 36.6091894, 140.6627522 36.6090946)",,,
373335666,1225778975,0,"1314186097,1191547925",trunk,2,50,陸前浜街道,False,6,False,268.1822510542237,"LINESTRING (140.6612374 36.6092354, 140.6613921 36.6093733, 140.6614466 36.6094176, 140.6615679 36.6095113, 140.6616544 36.6095776, 140.6617803 36.6096617, 140.6619532 36.609758, 140.6622694 36.6099121, 140.6636066 36.6105345, 140.6637087 36.610582)",,,
373335666,5319680120,0,"1314186098,326370959",tertiary,2,,滑川丘通り,False,,False,215.85967058743427,"LINESTRING (140.6612374 36.6092354, 140.6611933 36.6093077, 140.6611535 36.6094264, 140.6611374 36.6094762, 140.6611154 36.6095441, 140.6610838 36.6096995, 140.6610717 36.6098752, 140.6610761 36.6100212, 140.6610891 36.6101438, 140.6611141 36.6102583, 140.6611414 36.6103508, 140.661297 36.6106907, 140.6614663 36.6111095)",,,
373335666,10039482335,0,"326370962,1314186099",tertiary,2,,市民会館通り,False,,True,105.38537942038347,"LINESTRING (140.6612374 36.6092354, 140.6612829 36.609173, 140.6613478 36.6091002, 140.6613856 36.6090574, 140.6614803 36.6089434, 140.6615263 36.6088871, 140.6615525 36.6088288, 140.6615884 36.6087211, 140.6616053 36.6085999, 140.6615917 36.6084959, 140.6615544 36.6083703)",,,
373335666,5319680109,0,1314186100,trunk,2,50,陸前浜街道,False,6,True,35.20261772633778,"LINESTRING (140.6612374 36.6092354, 140.6611204 36.6091299, 140.6610801 36.6090843, 140.6610013 36.608983)",,,
373335743,1223214549,0,106281320,residential,,,,False,,False,106.53841021565997,"LINESTRING (140.657021 36.6051545, 140.6562947 36.6059148)",,,
373335743,3498346842,0,1193068735,trunk,2,50,陸前浜街道,False,6,False,36.98034972563094,"LINESTRING (140.657021 36.6051545, 140.6571556 36.6051897, 140.6572267 36.6052027, 140.6572978 36.6052157, 140.6574229 36.6052327)",,,
373335743,373335750,0,1193068735,trunk,2,50,陸前浜街道,False,6,True,62.36422309171541,"LINESTRING (140.657021 36.6051545, 140.6568626 36.605106, 140.6566964 36.6050457, 140.6565474 36.604979, 140.6564059 36.6048948)",,,
373335750,1223213454,0,106281290,residential,,,,False,,False,92.69368127981298,"LINESTRING (140.6564059 36.6048948, 140.6557872 36.6055643)",,,
373335750,373335743,0,1193068735,trunk,2,50,陸前浜街道,False,6,False,62.3642230917154,"LINESTRING (140.6564059 36.6048948, 140.6565474 36.604979, 140.6566964 36.6050457, 140.6568626 36.605106, 140.657021 36.6051545)",,,
373335750,959533132,0,1193068735,trunk,2,50,陸前浜街道,False,6,True,73.16139771050265,"LINESTRING (140.6564059 36.6048948, 140.6559297 36.6045977, 140.6558891 36.6045723, 140.6557588 36.604491)",,,
373335758,1223214140,0,1191532248,trunk,2,50,陸前浜街道,False,6,False,6.953682175818067,"LINESTRING (140.6539545 36.6030383, 140.653994 36.6030922)",,,
373335758,1213956214,0,105361010,residential,,,,False,,False,102.81976004720974,"LINESTRING (140.6539545 36.6030383, 140.6541497 36.6028395, 140.6543143 36.602677, 140.6543443 36.6026474, 140.6545301 36.6025355, 140.6547069 36.6024638, 140.6547909 36.6024237)",,,
373335758,373335762,0,"1191532248,425948218,425948220",trunk,2,50,陸前浜街道,False,6,True,57.173898209057704,"LINESTRING (140.6539545 36.6030383, 140.6537664 36.6027594, 140.6536765 36.6026172, 140.6536544 36.6025841)",yes,,
373335762,1223214181,0,106281287,residential,,,,False,,True,41.5833410930354,"LINESTRING (140.6536544 36.6025841, 140.6534501 36.6026997, 140.6532717 36.6027973)",,,
373335762,373335758,0,"1191532248,425948218,425948220",trunk,2,50,陸前浜街道,False,6,False,57.173898209057704,"LINESTRING (140.6536544 36.6025841, 140.6536765 36.6026172, 140.6537664 36.6027594, 140.6539545 36.6030383)",yes,,
373335762,1223213139,0,425948220,trunk,2,50,陸前浜街道,False,6,True,82.38599543748825,"LINESTRING (140.6536544 36.6025841, 140.653541 36.6024018, 140.6534352 36.602211, 140.6533072 36.6018992)",,,
373335777,4385173143,0,105360897,residential,,,,False,,False,73.1081579502723,"LINESTRING (140.6512583 36.5966275, 140.6505275 36.5969242)",,,
373335777,4382140319,0,1314177862,trunk,2,50,陸前浜街道,False,6,False,32.58704913630784,"LINESTRING (140.6512583 36.5966275, 140.6512667 36.596641, 140.6513171 36.5967222, 140.6513527 36.5967791, 140.6514115 36.5968933)",,,
373335777,4385172916,0,"425948219,1314177862",trunk,2,50,陸前浜街道,False,6,True,47.118161053372376,"LINESTRING (140.6512583 36.5966275, 140.6511383 36.5964388, 140.6510183 36.5962501)",,,
373335931,959568607,0,103778039,tertiary,2,,,False,,True,64.69079914039864,"LINESTRING (140.6178002 36.5290345, 140.618509 36.5289159)",,,
373335931,5840011771,0,1189785704,trunk,2,,陸前浜街道,False,6,True,26.855767697523177,"LINESTRING (140.6178002 36.5290345, 140.6177253 36.5288006)",,,
373335931,5849321780,0,1189785705,tertiary,2,,,False,,False,111.31082023133159,"LINESTRING (140.6178002 36.5290345, 140.6165885 36.529267)",,,
373335931,1198721814,0,1189816790,trunk,2,,陸前浜街道,False,6,False,43.045154534763974,"LINESTRING (140.6178002 36.5290345, 140.6179217 36.5294091)",,,
373335990,742227307,0,94501079,unclassified,,30,,False,,False,82.38560611652646,"LINESTRING (140.6103486 36.5128271, 140.6104888 36.5127907, 140.6106377 36.5127795, 140.6111801 36.5127849, 140.6112626 36.5127864)",,,
373335990,742227295,0,638694821,trunk,2,60,陸前浜街道,False,6,False,107.85978540038464,"LINESTRING (140.6103486 36.5128271, 140.6105581 36.5128835, 140.6106091 36.5128977, 140.6108627 36.512978, 140.6111188 36.5130762, 140.6112914 36.513154, 140.6114427 36.513229)",,,
373335990,373335998,0,1188409371,trunk,2,60,陸前浜街道,False,6,True,254.6703361390321,"LINESTRING (140.6103486 36.5128271, 140.6101018 36.5127745, 140.6098965 36.5127405, 140.6096931 36.5127141, 140.6094834 36.5126952, 140.6092608 36.5126824, 140.6075164 36.5126928)",,,
373335998,728180206,0,94086372,residential,,,,False,,False,68.53381774519646,"LINESTRING (140.6075164 36.5126928, 140.6075163 36.5125927, 140.607466 36.5125267, 140.6074044 36.5124532, 140.607374 36.5123701, 140.6073473 36.5122773, 140.6072623 36.5122456, 140.6071536 36.5122136)",,,
373335998,728180220,0,1144646113,trunk,2,60,陸前浜街道,False,6,True,60.2657491117231,"LINESTRING (140.6075164 36.5126928, 140.6071608 36.5127026, 140.6071204 36.5127039, 140.6068425 36.5127123)",,,
373335998,373335990,0,1188409371,trunk,2,60,陸前浜街道,False,6,False,254.67033613903212,"LINESTRING (140.6075164 36.5126928, 140.6092608 36.5126824, 140.6094834 36.5126952, 140.6096931 36.5127141, 140.6098965 36.5127405, 140.6101018 36.5127745, 140.6103486 36.5128271)",,,
373336039,13959519276,0,938732031,trunk,1,60,陸前浜街道,True,6,False,59.77034300042986,"LINESTRING (140.5791715 36.5055801, 140.5793937 36.5057033, 140.5797064 36.505876, 140.5797229 36.5058842)",,,
417754509,2723774961,0,938559612,motorway_link,1,,,True,,False,94.93479452885131,"LINESTRING (140.6716881 36.6514153, 140.672177 36.6513761, 140.6727463 36.6513251)",,,
417754513,417754516,0,266874415,motorway_link,1,40,,True,,False,87.44278727432783,"LINESTRING (140.6746469 36.65118, 140.674769 36.6511866, 140.6748489 36.6511917, 140.6749213 36.6512208, 140.6749893 36.6512702, 140.6750326 36.6513273, 140.6750504 36.6514007, 140.6751197 36.6517399)",,,
417754513,417754642,0,1092094969,motorway_link,1,40,,True,,False,46.54359325024133,"LINESTRING (140.6746469 36.65118, 140.6747523 36.6511487, 140.6748837 36.6511185, 140.6749528 36.6510934, 140.6750205 36.6510615, 140.6751044 36.6509946)",,,
417754516,6377342861,0,35678461,primary,2,40,日立いわき線,False,10,False,51.98020602365315,"LINESTRING (140.6751197 36.6517399, 140.6750975 36.6519502, 140.6750628 36.6522051)",,,
417754516,417754642,0,"478440441,1147501348",primary,2,40,日立いわき線,False,10,True,82.93593064578035,"LINESTRING (140.6751197 36.6517399, 140.6751288 36.6515568, 140.6751261 36.6514136, 140.6751118 36.6510832, 140.6751044 36.6509946)",,,
417754642,417756968,0,478440440,primary,2,40,日立いわき線,False,10,True,22.9490262158724,"LINESTRING (140.6751044 36.6509946, 140.6751009 36.6509464, 140.6750747 36.6507897)",,,
417754642,417754516,0,"478440441,1147501348",primary,2,40,日立いわき線,False,10,False,82.93593064578036,"LINESTRING (140.6751044 36.6509946, 140.6751118 36.6510832, 140.6751261 36.6514136, 140.6751288 36.6515568, 140.6751197 36.6517399)",,,
417755940,2723774959,0,1092094968,motorway_link,1,40,,True,,False,174.54491664727442,"LINESTRING (140.6745912 36.6507351, 140.674236 36.6508377, 140.6737921 36.6509425, 140.6733771 36.6510313, 140.6730024 36.6511027, 140.6727221 36.6511922)",,,
417756968,417755940,0,35678459,motorway_link,1,40,,True,,False,45.27089125426346,"LINESTRING (140.6750747 36.6507897, 140.6749954 36.6507464, 140.6749171 36.6507228, 140.6748494 36.6507161, 140.6747421 36.6507183, 140.6745912 36.6507351)",,,
417756968,417754642,0,478440440,primary,2,40,日立いわき線,False,10,False,22.9490262158724,"LINESTRING (140.6750747 36.6507897, 140.6751009 36.6509464, 140.6751044 36.6509946)",,,
417756968,417757137,0,478440442,primary,2,40,日立いわき線,False,10,True,80.25330633873189,"LINESTRING (140.6750747 36.6507897, 140.6750509 36.6506811, 140.6749947 36.6504866, 140.6748768 36.6500858)",,,
417757137,6010844669,0,478440437,primary,2,40,日立いわき線,False,10,True,71.91275036570745,"LINESTRING (140.6748768 36.6500858, 140.6746948 36.6495269, 140.6746739 36.6494599)",,,
417757137,417756968,0,478440442,primary,2,40,日立いわき線,False,10,False,80.25330633873189,"LINESTRING (140.6748768 36.6500858, 140.6749947 36.6504866, 140.6750509 36.6506811, 140.6750747 36.6507897)",,,
417757137,417755940,0,478440444,motorway_link,1,40,,True,,False,86.03129531933796,"LINESTRING (140.6748768 36.6500858, 140.6748731 36.6502128, 140.6749092 36.6503938, 140.6749004 36.6505078, 140.6748693 36.6505781, 140.6748126 36.6506258, 140.6747289 36.6506702, 140.6745912 36.6507351)",,,
417757496,4715949403,0,35678421,motorway_link,1,,,True,,False,514.0308390670563,"LINESTRING (140.6715936 36.651289, 140.6713617 36.6512631, 140.6712306 36.6512487, 140.6711072 36.6512272, 140.6709824 36.6511928, 140.6708725 36.6511573, 140.6707679 36.6511035, 140.6706539 36.6510325, 140.6705788 36.6509679, 140.6705037 36.6508872, 140.670446 36.6508076, 140.6703937 36.6507161, 140.6703481 36.6506032, 140.670298 36.6504303, 140.670163 36.6498866, 140.6700857 36.6495028, 140.6700168 36.6491311, 140.6699525 36.6487579, 140.669931 36.6485631, 140.6698519 36.6479821, 140.6698157 36.647698, 140.6697028 36.6473374)",,,
417757496,417761196,0,"929150680,681039812,929150679",motorway_link,1,,,True,,False,676.574253749377,"LINESTRING (140.6715936 36.651289, 140.6713296 36.651338, 140.6706535 36.6513716, 140.6698921 36.6513929, 140.6695103 36.6513966, 140.6693141 36.6513972, 140.6691787 36.6513864, 140.6690633 36.6513741, 140.6689413 36.6513536, 140.6688568 36.6513305, 140.6687676 36.6513009, 140.6686784 36.6512649, 140.668604 36.6512208, 140.6685249 36.6511562, 140.6684551 36.6510879, 140.6684055 36.6510131, 140.6683673 36.6509313, 140.6683458 36.6508635, 140.6683385 36.6507866, 140.6683378 36.650729, 140.6683472 36.6506661, 140.6683693 36.6505816, 140.6684022 36.6505074, 140.6684598 36.6504278, 140.6685296 36.6503535, 140.6686033 36.6502981, 140.6686925 36.650247, 140.6687743 36.6502169, 140.6688776 36.6501981, 140.6689788 36.6501927, 140.6690727 36.6501991, 140.6691733 36.6502233, 140.6692625 36.6502626, 140.6693429 36.6503105, 140.6694113 36.6503659, 140.6694697 36.6504262, 140.6695374 36.6505139, 140.6695803 36.6505972, 140.6696011 36.6506634, 140.6696199 36.6507301, 140.6696326 36.6508345, 140.6696373 36.6510147, 140.6696185 36.6512702, 140.6695864 36.6515866, 140.6695789 36.652188)",yes,,
417759836,5318471475,0,550652325,residential,,,,False,,False,18.457569865495024,"LINESTRING (140.6719322 36.6396088, 140.671749 36.6396859)",,,
417759836,5318466319,0,550652325,residential,,,,False,,True,57.46946552025585,"LINESTRING (140.6719322 36.6396088, 140.6725044 36.6393715)",,,
417759836,10677430448,0,373880893,primary,2,,日立いわき線,False,10,False,57.70494524520694,"LINESTRING (140.6719322 36.6396088, 140.6719141 36.6397577, 140.6719022 36.6399253, 140.6718954 36.6401267)",,,
417759836,5318471519,0,373880893,primary,2,,日立いわき線,False,10,True,79.99013651738342,"LINESTRING (140.6719322 36.6396088, 140.6719617 36.6394806, 140.6719714 36.6394382, 140.6719759 36.6394188, 140.672012 36.6392894, 140.6720754 36.6391046, 140.6721516 36.6389122)",,,
417759879,5318471425,0,550652336,residential,,,,False,,True,78.96893661273356,"LINESTRING (140.6742257 36.6355963, 140.6749751 36.6352185)",,,
417759879,5320066187,0,1147501308,primary,2,,日立いわき線,False,10,False,23.701921105866916,"LINESTRING (140.6742257 36.6355963, 140.6743025 36.6357386, 140.6743226 36.6357944)",,,
417759879,5318471377,0,1147501308,primary,2,,日立いわき線,False,10,True,58.88758052944658,"LINESTRING (140.6742257 36.6355963, 140.674169 36.6355376, 140.6740479 36.6354121, 140.6738153 36.6351816)",,,
417759906,5318471655,0,440475494,residential,,,,False,,False,100.42051963754169,"LINESTRING (140.6715649 36.6337709, 140.6715993 36.6337366, 140.6716412 36.6337189, 140.6722916 36.6340348, 140.6723228 36.634028, 140.6723636 36.6340028, 140.672499 36.6339087)",,,
417759906,5318471370,0,"1147501297,1147501298",primary,2,,日立いわき線,False,10,False,180.49394154679194,"LINESTRING (140.6715649 36.6337709, 140.6721548 36.6341044, 140.6723099 36.6341834, 140.6728018 36.6344302, 140.6731345 36.6345971, 140.6731776 36.6346217, 140.6732527 36.6346645)",,,
417759906,4382140294,0,1147501297,primary,2,,日立いわき線,False,10,True,105.77638415252343,"LINESTRING (140.6715649 36.6337709, 140.6712361 36.6335772, 140.6711399 36.6335127, 140.6710651 36.6334404, 140.6710206 36.633369, 140.670987 36.6332979, 140.6709657 36.6332115, 140.6709425 36.633027)",,,
417760745,5319303371,0,1146549703,primary,2,,日立いわき線,False,10,True,31.144020689188967,"LINESTRING (140.6694781 36.6282939, 140.6693408 36.6280364)",,,
417760745,5320066660,0,35678622,residential,,,,False,,False,53.147364716886614,"LINESTRING (140.6694781 36.6282939, 140.6693107 36.6283311, 140.6690874 36.6283542, 140.6689516 36.6283679, 140.6688918 36.6283701)",,,
417760745,5319137156,0,440475495,residential,,,,False,,True,219.86355027501514,"LINESTRING (140.6694781 36.6282939, 140.6695391 36.6282826, 140.6700286 36.6282568, 140.6702928 36.6283192, 140.6706898 36.6283967, 140.6713429 36.6282374, 140.6714099 36.628217, 140.6715226 36.6281718, 140.671709 36.628077, 140.6718113 36.6280183)",,,
417760745,5319137121,0,1146549703,primary,2,,日立いわき線,False,10,False,104.90938374058086,"LINESTRING (140.6694781 36.6282939, 140.6695528 36.6284439, 140.669588 36.6285364, 140.6696581 36.6287508, 140.669697 36.628861, 140.6697558 36.6289742, 140.6698257 36.6290705, 140.6699074 36.6291649)",,,
417760748,5320066660,0,35678622,residential,,,,False,,True,7.299227832230619,"LINESTRING (140.6688684 36.628433, 140.6688918 36.6283701)",,,
417760748,5323568967,0,35678622,residential,,,,False,,False,165.2042963835887,"LINESTRING (140.6688684 36.628433, 140.6687846 36.6284975, 140.6687245 36.6285526, 140.6686558 36.6285939, 140.6685528 36.6286146, 140.6682041 36.6287085, 140.6681671 36.6289121, 140.667883 36.6291715, 140.6678347 36.6292878, 140.6676057 36.6293569)",,,
417760748,5323569007,0,551241249,residential,,,,False,,True,71.78726036723332,"LINESTRING (140.6688684 36.628433, 140.6688148 36.6285826, 140.6688308 36.6287688, 140.6688867 36.6289244, 140.6689987 36.6290335)",,,
417760748,11704786163,0,551241254,residential,,,,False,,True,155.4016619368069,"LINESTRING (140.6688684 36.628433, 140.6686591 36.6285148, 140.668435 36.6285701, 140.6683397 36.6285701, 140.6682791 36.6285653, 140.6681861 36.6285337, 140.6681535 36.6285252, 140.6680945 36.6285021, 140.6679682 36.6285216, 140.6678812 36.6285434, 140.6677655 36.6285987, 140.6675983 36.628623, 140.6672816 36.6286631, 140.6672095 36.6286649)",,,
417760816,5318471431,0,1147501333,primary,2,,日立いわき線,False,10,True,63.982415349807354,"LINESTRING (140.6734533 36.6373821, 140.6735857 36.6372682, 140.673627 36.6372327, 140.6737315 36.6371465, 140.6738305 36.6370484, 140.6739175 36.6369452)",,,
417760816,5318471427,0,1147501334,tertiary,2,,,False,,False,62.809435261567195,"LINESTRING (140.6734533 36.6373821, 140.6733412 36.6372747, 140.6733034 36.6372386, 140.6732384 36.6371844, 140.6731685 36.6371386, 140.6730801 36.6370887, 140.6729827 36.6370418, 140.6729229 36.6370215)",,,
417760816,5318466318,0,"1197037717,1147501335",tertiary,2,,,False,,True,155.64946838832583,"LINESTRING (140.6734533 36.6373821, 140.6735664 36.6375125, 140.6736109 36.6375693, 140.6737088 36.6376995, 140.6738691 36.6379127, 140.6743404 36.6385866)",,,
417760816,5318466306,0,"1147501336,373880893",primary,2,,日立いわき線,False,10,False,110.04942895893404,"LINESTRING (140.6734533 36.6373821, 140.6733293 36.6374843, 140.6732767 36.6375263, 140.6730818 36.6377007, 140.6729136 36.6378506, 140.6727754 36.6379928, 140.6726443 36.6381279)",,,
417761137,11062935819,0,681039844,tertiary,2,,,False,,False,6.504912398121976,"LINESTRING (140.6654906 36.6317311, 140.6654906 36.6316726)",,,
417761137,5319302995,0,550746337,residential,,,,False,,False,115.71093444591098,"LINESTRING (140.6654906 36.6317311, 140.6654075 36.6316748, 140.6648607 36.6310902, 140.6646316 36.6312153)",,,
417761137,5319302993,0,681039844,tertiary,2,,,False,,True,25.730433391387045,"LINESTRING (140.6654906 36.6317311, 140.6654781 36.6318196, 140.6654579 36.63189, 140.6654285 36.631956)",,,
417761142,5319302996,0,550742958,residential,,,,False,,True,22.542431923595434,"LINESTRING (140.6651096 36.6309635, 140.6653304 36.630865)",,,
417761142,417761144,0,681039844,tertiary,2,,,False,,False,189.055364465428,"LINESTRING (140.6651096 36.6309635, 140.6644828 36.6300734, 140.6640719 36.6294812)",,,
417761142,11062935819,0,681039844,tertiary,2,,,False,,True,86.61575738621806,"LINESTRING (140.6651096 36.6309635, 140.6652483 36.6311631, 140.6653487 36.6313157, 140.6654169 36.6314305, 140.6654575 36.6315153, 140.665482 36.6316024, 140.6654906 36.6316726)",,,
417761144,5319303016,0,550746344,residential,,,,False,,True,24.0266919650585,"LINESTRING (140.6640719 36.6294812, 140.6643075 36.6293766)",,,
417761144,6059391665,0,681039844,tertiary,2,,,False,,False,137.20895045647566,"LINESTRING (140.6640719 36.6294812, 140.6637874 36.6290724, 140.6637221 36.6289875, 140.6636319 36.6288916, 140.6635232 36.6287942, 140.6633864 36.6286899, 140.6632429 36.6286161, 140.6630995 36.6285628)",,,
417761144,417761142,0,681039844,tertiary,2,,,False,,True,189.055364465428,"LINESTRING (140.6640719 36.6294812, 140.6644828 36.6300734, 140.6651096 36.6309635)",,,
417761154,5319270182,0,550742947,residential,,,,False,,False,24.047486699021714,"LINESTRING (140.659949 36.6286585, 140.6599701 36.6288741)",,,
