osmid,y,x,highway,ref,street_count,junction,geometry
264003928,36.6052572,140.6367291,motorway_junction,11-1,3,,POINT (140.6367291 36.6052572)
264003995,36.5109643,140.5781646,motorway_junction,11,3,,POINT (140.5781646 36.5109643)
373335545,36.6397168,140.6874428,,,4,,POINT (140.6874428 36.6397168)
373335666,36.6092354,140.6612374,,,5,yes,POINT (140.6612374 36.6092354)
373335743,36.6051545,140.657021,,,3,,POINT (140.657021 36.6051545)
373335750,36.6048948,140.6564059,,,3,,POINT (140.6564059 36.6048948)
373335758,36.6030383,140.6539545,,,3,,POINT (140.6539545 36.6030383)
373335762,36.6025841,140.6536544,,,3,,POINT (140.6536544 36.6025841)
373335777,36.5966275,140.6512583,,,3,,POINT (140.6512583 36.5966275)
373335931,36.5290345,140.6178002,traffic_signals,,4,,POINT (140.6178002 36.5290345)
373335990,36.5128271,140.6103486,,,3,yes,POINT (140.6103486 36.5128271)
373335998,36.5126928,140.6075164,,,3,,POINT (140.6075164 36.5126928)
373336039,36.5055801,140.5791715,,,3,,POINT (140.5791715 36.5055801)
417754509,36.6514153,140.6716881,,,3,,POINT (140.6716881 36.6514153)
417754513,36.65118,140.6746469,,,3,,POINT (140.6746469 36.65118)
417754516,36.6517399,140.6751197,,,3,,POINT (140.6751197 36.6517399)
417754642,36.6509946,140.6751044,,,3,yes,POINT (140.6751044 36.6509946)
417755940,36.6507351,140.6745912,,,3,,POINT (140.6745912 36.6507351)
417756968,36.6507897,140.6750747,,,3,yes,POINT (140.6750747 36.6507897)
417757137,36.6500858,140.6748768,,,3,,POINT (140.6748768 36.6500858)
417757496,36.651289,140.6715936,,,3,,POINT (140.6715936 36.651289)
417759836,36.6396088,140.6719322,,,4,yes,POINT (140.6719322 36.6396088)
417759879,36.6355963,140.6742257,,,3,,POINT (140.6742257 36.6355963)
417759906,36.6337709,140.6715649,,,3,,POINT (140.6715649 36.6337709)
417760745,36.6282939,140.6694781,,,4,,POINT (140.6694781 36.6282939)
417760748,36.628433,140.6688684,,,4,,POINT (140.6688684 36.628433)
417760816,36.6373821,140.6734533,,,4,yes,POINT (140.6734533 36.6373821)
417761137,36.6317311,140.6654906,,,3,,POINT (140.6654906 36.6317311)
417761142,36.6309635,140.6651096,,,3,,POINT (140.6651096 36.6309635)
417761144,36.6294812,140.6640719,,,3,,POINT (140.6640719 36.6294812)
417761154,36.6286585,140.659949,,,3,,POINT (140.659949 36.6286585)
417761163,36.6283652,140.6576939,,,4,,POINT (140.6576939 36.6283652)
417761196,36.652188,140.6695789,,,3,,POINT (140.6695789 36.652188)
417761744,36.6009492,140.635547,motorway_junction,11-1,3,,POINT (140.635547 36.6009492)
417761837,36.6477242,140.669632,motorway_junction,12,3,,POINT (140.669632 36.6477242)
417763769,36.5063656,140.5721013,motorway_junction,11,3,,POINT (140.5721013 36.5063656)
504241153,36.5068439,140.5764012,,,3,,POINT (140.5764012 36.5068439)
504241162,36.5058395,140.5765217,,,3,,POINT (140.5765217 36.5058395)
728175867,36.5139201,140.6312218,,,3,,POINT (140.6312218 36.5139201)
728175880,36.5048875,140.590317,,,3,,POINT (140.590317 36.5048875)
728175884,36.5080364,140.5838661,,,4,yes,POINT (140.5838661 36.5080364)
728178576,36.5142708,140.6215259,,,3,,POINT (140.6215259 36.5142708)
728178577,36.5127611,140.6207412,traffic_signals,,3,,POINT (140.6207412 36.5127611)
728178579,36.5134929,140.62603,,,4,,POINT (140.62603 36.5134929)
728178580,36.5118983,140.6258352,traffic_signals,,4,,POINT (140.6258352 36.5118983)
728178582,36.5165028,140.6300442,traffic_signals,,4,,POINT (140.6300442 36.5165028)
728178584,36.5057086,140.6288883,traffic_signals,,4,,POINT (140.6288883 36.5057086)
728178586,36.5096188,140.6255769,,,3,,POINT (140.6255769 36.5096188)
728178597,36.5065171,140.6267516,,,3,,POINT (140.6267516 36.5065171)
728178606,36.5073961,140.6243968,traffic_signals,,3,,POINT (140.6243968 36.5073961)
728180182,36.5009573,140.6252615,,,4,yes,POINT (140.6252615 36.5009573)
728180185,36.5058014,140.5763568,,,3,,POINT (140.5763568 36.5058014)
